Sat Jun  1 05:33:01 2013	91	Asc, Riya	The Touch Feat. Riya (Vaccine Remix)	The Touch
Sat Jun  1 05:38:04 2013	94	Mj Cole	Sincere (Nero Remix)	Sincere (Nero Remix)
Sat Jun  1 05:43:45 2013	97	Reid Speed, FS	To The Sky	Half Android
Sat Jun  1 05:48:00 2013	90	Benga	E Trips	Diary Of An Afro Warrior
Sat Jun  1 05:52:34 2013	89	Seven, Elvee	Crime Doesnt Pay	Cerebral EP
Sat Jun  1 05:57:32 2013	85	Distance	Traffic	10 Tons Heavy
Sat Jun  1 06:02:45 2013	85	Dj Hatcha Vs Lost	Get Up & Rock	Getdarker Presents This Is Dubstep 2
Sat Jun  1 06:07:50 2013	74	Mimi Page, Shotgun Radio	A Bad Place (Minnesota Remix)	A Bad Place: Remixed
Sat Jun  1 06:16:31 2013	83	Calvertron	R U Ready	Future Proof / R U Ready?
Sat Jun  1 06:21:00 2013	81	Shigeto	Beat It Up	Versus Series Round 1: Dubstep
Sat Jun  1 06:26:33 2013	77	Davehoax	Moths	The Compilation 2012
Sat Jun  1 06:32:31 2013	76	Tipper	Off Kilter	Wobble Factor
Sat Jun  1 06:37:04 2013	77	Jakes & Skream	In The Place Ta Be & Metal Mouth	Beatdown
Sat Jun  1 06:39:32 2013	81	Cluekid	Hovercraft	Swarf Pot - Transition Dubstep
Sat Jun  1 06:44:13 2013	76	Borgore, Adi Ulmansky	Someone Elses (Document One Remix)	Delicious EP
Sat Jun  1 06:50:15 2013	77	Dz	Down	Blow Your Head - Diplo Presents: Dubstep [Explicit]
Sat Jun  1 06:55:56 2013	85	NumberNin6	Garbage	UKF Dubstep 2010
Sat Jun  1 07:00:30 2013	79	Author, Ed Thomas	Turn	Author
Sat Jun  1 07:05:59 2013	82	Author	The City	The City / Teacher
Sat Jun  1 07:11:26 2013	75	Ecto	Keep It Up	First Strike
Sat Jun  1 07:14:42 2013	79	J Majik, Wickaman, Byob	Save My Life (Dubstep Mix	UKF Dubstep 2010
Sat Jun  1 07:18:50 2013	87	Skream	Listenin' To The Records On My Wall	Outside The Box
Sat Jun  1 07:22:07 2013	88	Seahorse	To Be One	The Compilation 2012
Sat Jun  1 07:28:54 2013	93	Filmi	Hinduistics ((Fs Remix))	dimmSummer presents: Sub Continental Bass
Sat Jun  1 07:33:05 2013	102	JaFU	Spells	Add To Cart
Sat Jun  1 07:36:57 2013	99	Little Jinder	Youth Blood (12th Planet And Flinch Remix)	Blow Your Head - Diplo Presents: Dubstep [Explicit]
Sat Jun  1 07:41:08 2013	101	Alexisk	Undertow In G	Generation Bass Presents Transnational Dubstep
Sat Jun  1 07:45:18 2013	95	K-lone	Rapid Eye Movement (Rem) (Orig	n/a
Sat Jun  1 07:49:00 2013	94	Bassnectar & Jansten	What	Vava Voom
Sat Jun  1 07:53:54 2013	93	Perverse	Neurotic	Genocide EP
Sat Jun  1 07:58:56 2013	87	Drop Top, Figure	We Are Warriors (Calvertron Remix)	We Are Warriors
Sat Jun  1 08:03:12 2013	87	Karma	Breaking Through (Original Mix	n/a
Sat Jun  1 08:08:07 2013	91	Dubtro	Dark Humans	The Compilation 2012
Sat Jun  1 08:14:09 2013	82	Calvertron	Future Proof	Future Proof / R U Ready?
Sat Jun  1 08:19:14 2013	86	Beto Narme	Outranked Spectacles	Mutiple Choice (Dubstep!)
Sat Jun  1 08:26:08 2013	83	Jay Cunning, Onesinner	Bad Girls (High Rankin Remix)	Bad Girls (Re-Mastered & Remixed)
Sat Jun  1 08:30:12 2013	89	Bassnectar & Ill.Gates	Probable Cause	Divergent Spectrum
Sat Jun  1 08:34:04 2013	94	Caspa	Marmite	Everybody's Talking, Nobody's Listening
Sat Jun  1 08:38:07 2013	99	Cyrus	Rupture	Nostalgia / Rupture
Sat Jun  1 08:44:07 2013	98	Spectrasoul	No Doubt	Delay No More
Sat Jun  1 08:46:39 2013	103	Noisia	Alpha Centauri (Excision & Datsik Remix)	Split The Atom: Special Edition
Sat Jun  1 08:51:17 2013	96	Phutureprimitive	Kinetik	Kinetik
Sat Jun  1 08:56:48 2013	97	Delta Heavy	Get By	Down The Rabbit Hole
Sat Jun  1 09:01:20 2013	94	Author	Sun	Author
Sat Jun  1 09:06:51 2013	92	Heyoka	Chem	Marklar
Sat Jun  1 09:10:45 2013	89	Alex Dead	Vitamin	n/a
Sat Jun  1 09:14:37 2013	83	Deadmau5	One Trick Pony	n/a
Sat Jun  1 09:18:18 2013	91	Soul Captive	Survival	The Compilation 2012
Sat Jun  1 09:23:16 2013	94	Amon Tobin	Surge (16bit Remix)	Surge
Sat Jun  1 09:28:20 2013	103	Cookie Monsta	You Can Do It	Me Want Cookie
Sat Jun  1 09:31:36 2013	94	Dysphemic	Kamikaze	Generation Bass Presents Transnational Dubstep
Sat Jun  1 09:36:37 2013	103	D Minds, Jakes	Gold Chain	Roulette / Gold Chain
Sat Jun  1 09:42:06 2013	97	Redlight	Get Out My Head (Joker Remix)	Get Out My Head
Sat Jun  1 09:46:22 2013	93	Ishe, Dirt Monkey	Bigger They Come	Ishe & Dirt Monkey EP
Sat Jun  1 09:51:09 2013	91	Capes	Better Know	Everlasting - Selected And Mixed By Gaudi
Sat Jun  1 09:56:17 2013	95	Trashbat	Your Mind	The Compilation 2012
Sat Jun  1 10:02:38 2013	92	Truth	Full Baked	n/a
Sat Jun  1 10:06:57 2013	92	Nate Mars	Stuck	Concentric Circles
Sat Jun  1 10:12:00 2013	88	Benny Page & Zero G	Panpipes	Getdarker Presents This Is Dubstep 2
Sat Jun  1 10:17:06 2013	89	Tipper	Ken Oath	Wobble Factor
Sat Jun  1 10:21:18 2013	87	Benga	Electro Scratch	Swarf Pot - Transition Dubstep
Sat Jun  1 10:25:48 2013	87	Beto Narme	Sigment Dots	Mutiple Choice (Dubstep!)
Sat Jun  1 10:32:17 2013	89	Niveau Zero	Permafrost	Jasmine
Sat Jun  1 10:36:25 2013	92	Aquasky, Diane Charlemagne	Take Me There (Cutline Mix)	Take Me There (Cutline Remix)
Sat Jun  1 10:40:34 2013	93	Infected Mushroom	U R So Smart	U R So Smart
Sat Jun  1 10:44:25 2013	95	Excision, Space Laces	Destroid 7 Bounce (Original Mi	n/a
Sat Jun  1 10:48:31 2013	101	Above & Beyond, Richard Bedford	On My Way To Heaven Feat. Richard Bedford (Seven Lions Remix)	On My Way To Heaven (The Remixes)
Sat Jun  1 10:53:48 2013	102	Cyberoptics	Geisha Vip (Cyberoptics Vip	Tie Fighter
Sat Jun  1 10:58:55 2013	100	Kutz	Shake It	Transformers / Shake it
Sat Jun  1 11:04:01 2013	100	Mark Instinct	Gngsta	Discoshit / Gngsta
Sat Jun  1 11:08:07 2013	98	Protohype, Kezwik	Menace	See No Evil
Sat Jun  1 11:12:00 2013	104	Chaosphere, Datsik	Eradicate	Eradicate EP
Sat Jun  1 11:16:09 2013	111	Spectrasoul	Buggin'	Delay No More
Sat Jun  1 11:20:24 2013	94	Skream	Rutten	Skream!
Sat Jun  1 11:26:57 2013	95	Knife Party	Centipede	Rage Valley EP
Sat Jun  1 11:30:51 2013	90	Zedd	Stars Come Out (Terravita Remix)	Stars Come Out Remixes
Sat Jun  1 11:34:57 2013	92	Widowmaker	Tunneling Wurm	Tunneling Wurm / Forgotten Ruin / Exile
Sat Jun  1 11:41:18 2013	97	Icicle	Together In The Dust (Original	n/a
Sat Jun  1 11:46:42 2013	99	Me&john	Tell Me (Feat, Lisa Lobsinger)	n/a
Sat Jun  1 11:51:33 2013	94	Kill The Noise	Kill The Noise (Part I)	Kill Kill Kill
Sat Jun  1 11:58:53 2013	89	JaFU	Lone Kimono	Add To Cart
Sat Jun  1 12:02:27 2013	95	Noisia	Machine Gun (16 Bit Remix)	Split The Atom: Special Edition
Sat Jun  1 12:08:07 2013	95	Phutureprimitive	Cryogenic Dreams	Kinetik
Sat Jun  1 12:14:24 2013	95	Noah D	Seeerious	Getdarker Presents This Is Dubstep 2
Sat Jun  1 12:18:50 2013	98	Product .01	I Like It Loud (Buckfunk 3000	n/a
Sat Jun  1 12:22:21 2013	89	Tambour Battant	In The Skies (The Unik Remix)	In the Skies
Sat Jun  1 12:26:50 2013	89	Tipper	Razor Back	Wobble Factor
Sat Jun  1 12:30:24 2013	89	Soulstice	Changes (Fs Dubstep Mix)	Changes (Promo Only Single)
Sat Jun  1 12:34:34 2013	93	Roy Two Thousand	Can't Stop	r2k 01
Sat Jun  1 12:38:08 2013	97	Document One	Bubble And Squeak	Breakdown EP
Sat Jun  1 12:41:46 2013	93	Bong	She Said	She Said
Sat Jun  1 12:46:05 2013	104	Droid Sector	Sarcophagus	Catharsis / Sarcophagus
Sat Jun  1 12:50:38 2013	104	Mars, Davip	The Desert Rain	n/a
Sat Jun  1 12:56:31 2013	100	Author	Dashiki	Author
Sat Jun  1 12:59:29 2013	100	Eastern Sun Feat. John Kelley	Whale Rider	Integrate
Sat Jun  1 13:05:07 2013	97	Pretty Lights	Total Fascination	Making Up A Changing Mind
Sat Jun  1 13:10:16 2013	102	Bandish Projekt	Brown Skin Beauty (Liquid Stranger Remix)	Generation Bass Presents Transnational Dubstep
Sat Jun  1 13:17:14 2013	101	Perverse	Mutiny	Genocide EP
Sat Jun  1 13:22:09 2013	107	Kraddy	Steppin' Razor	Android Porn b-w Steppin' Razor
Sat Jun  1 13:26:09 2013	107	Truth	Direct Blow	n/a
Sat Jun  1 13:29:55 2013	106	Kryptic Minds	Askum	Askum / When Two Paths Cross
Sat Jun  1 13:35:25 2013	109	Dj Fresh	Hypercaine Feat. Stamina Mc & Koko (Nero Dubstep Mix)	Hypercaine
Sat Jun  1 13:40:54 2013	103	Cubism	Come Out & Play	Event Horizon LP
Sat Jun  1 13:44:35 2013	102	Freestylers Feat. Belle Humble	Cracks (Flux Pavillion Remix)	Getdarker Presents This Is Dubstep 3
Sat Jun  1 13:49:07 2013	102	Spectrasoul	Ish Chat	Delay No More
Sat Jun  1 13:51:28 2013	100	Tallan	Tahi	The Compilation 2012
Sat Jun  1 13:57:00 2013	98	Shaz Sparks, Seven Lions	Below Us Feat. Shaz Sparks	Polarize EP
Sat Jun  1 14:00:50 2013	99	J Kenzo	Invaderz	Invaderz / Depth Charge
Sat Jun  1 14:05:30 2013	103	Excision	Obvious	n/a
Sat Jun  1 14:11:26 2013	97	Dr. Ozi	Imaginary Friends	Imaginary Friends EP
Sat Jun  1 14:15:27 2013	97	Killa & Instinct	Haterz	Getdarker Presents This Is Dubstep 3
Sat Jun  1 14:20:30 2013	98	Benga	3 Phase	Swarf Pot - Transition Dubstep
Sat Jun  1 14:25:15 2013	104	Vaccine	Concussion	Fever (High Grade Mix) / Concussion
Sat Jun  1 14:30:18 2013	101	J Kenzo, Rod Azlan	Ruffhouse Feat. Rod Azlan	Ruffhouse / Therapy
Sat Jun  1 14:35:42 2013	100	Stenchman	Sounds Of The Future	n/a
Sat Jun  1 14:39:43 2013	98	Document One	Breakdown	Breakdown EP
Sat Jun  1 14:44:50 2013	104	Phutureprimitive	Center Of Gravity	Kinetik
