Mon Jul  1 05:42:16 2013	96	NiT GriT	Quasars	NiT GriT
Mon Jul  1 05:47:05 2013	94	Spectrasoul	Buggin'	Delay No More
Mon Jul  1 05:51:41 2013	99	Cookie Monsta	Blurgh	Circus One Pres. By: Dr P & Flux Pavilion
Mon Jul  1 05:55:46 2013	99	Mimi Page	New (Phrenik Remix)	Harmonious HeartBEATS
Mon Jul  1 06:00:39 2013	94	Deadmau5	Raise Your Weapon (Noisia Remix)	Raise Your Weapon (Remixes)
Mon Jul  1 06:05:35 2013	88	Pete Namlook & Gaudi	The 7th Spirit	Everlasting - Selected And Mixed By Gaudi
Mon Jul  1 06:11:07 2013	86	Me&john	Tell Me (Feat, Lisa Lobsinger)	n/a
Mon Jul  1 06:16:03 2013	85	Camo, Krooked	All Fall Down Feat. Shaz Sparks (Club Mix)	All Fall Down
Mon Jul  1 06:20:09 2013	88	Skream	One For The Heads Who Remember	Ghetto Bass (Includes 2 Continuous DJ Mixes)
Mon Jul  1 06:24:21 2013	88	Skream Ft. Jme	Tapped	Skream!
Mon Jul  1 06:27:50 2013	88	Bassnectar	Window Seat	Cozza Frenzy
Mon Jul  1 06:34:25 2013	96	Cyrus	Nostalgia	Nostalgia / Rupture
Mon Jul  1 06:39:59 2013	93	Capes	Better Know	Everlasting - Selected And Mixed By Gaudi
Mon Jul  1 06:44:46 2013	100	Mr Lager Feat. Alys Be	Tell Me (Distance Remix)	Getdarker Presents This Is Dubstep 3
Mon Jul  1 06:49:42 2013	98	Blackburner	Feel The Burn (Feat. Sister Alice)	Feel the Burn
Mon Jul  1 06:53:00 2013	100	Tek-One	Broken String	UKF Dubstep 2010
Mon Jul  1 06:56:59 2013	99	Feed Me	Blood Red	Feed Me's Big Adventure
Mon Jul  1 07:02:46 2013	105	Sinister Souls	Void	n/a
Mon Jul  1 07:08:35 2013	105	Black Sun Empire, Foreign Beggars	Solace One Ft. Black Sun Empire (Datsik Remix)	The Harder They Fall Remixes
Mon Jul  1 07:12:58 2013	106	Excision, Space Laces	Destroid 7 Bounce (Original Mi	n/a
Mon Jul  1 07:17:11 2013	107	State Azure	Candle	n/a
Mon Jul  1 07:22:47 2013	102	Dev	Fireball (Dillon Francis Remix)	Fireball (Dillon Francis Remix)
Mon Jul  1 07:25:59 2013	107	Skream	Kinky	Swarf Pot - Transition Dubstep
Mon Jul  1 07:31:00 2013	94	Protohype, Kezwik	Menace	See No Evil
Mon Jul  1 07:34:47 2013	105	M Machine	The Palace Feat. Blake Hazard	Metropolis Pt. II
Mon Jul  1 07:40:24 2013	101	Flux Pavilion	Do Or Die Feat. Childish Gambi	n/a
Mon Jul  1 07:44:20 2013	94	Hirshee, Tonye Aganaba	So Good	So Good
Mon Jul  1 07:49:12 2013	112	Somaaa	Learning Curve	To Deadmau5, Mstrkrft, Bloody Beetroots, And Other Awesome People
Mon Jul  1 07:49:59 2013	106	Dubtro	Dark Humans	The Compilation 2012
Mon Jul  1 07:55:59 2013	100	Perverse	Neurotic	Genocide EP
Mon Jul  1 08:01:02 2013	95	Author	Fix	Author
Mon Jul  1 08:07:12 2013	92	Mark Instinct	Gngsta	Discoshit / Gngsta
Mon Jul  1 08:11:18 2013	64	Daft Punk	Solar Sailer (Remixed By Pretty Lights)	TRON: Legacy Reconfigured
Mon Jul  1 08:15:44 2013	79	Noisia	Alpha Centauri (Excision & Datsik Remix)	Split The Atom: Special Edition
Mon Jul  1 08:20:26 2013	72	Chaosphere	Slam	Eradicate EP
Mon Jul  1 08:25:29 2013	80	Meiko	Leave The Lights On (Future Funk Squad Remix)	n/a
Mon Jul  1 08:31:01 2013	86	Spectrasoul	No Doubt	Delay No More
Mon Jul  1 08:33:34 2013	82	Kryptic Minds	When Two Paths Cross (Original	n/a
Mon Jul  1 08:39:00 2013	79	Vaccine	Concussion	Fever (High Grade Mix) / Concussion
Mon Jul  1 08:43:58 2013	88	Glitch Mob	Fistful Of Silence	Drink The Sea
Mon Jul  1 08:48:36 2013	90	Blackburner	Back In Black (Vicious Dubstep Mix)	Feel the Burn
Mon Jul  1 08:52:27 2013	97	Trolley Snatcha	Nasty Shit	n/a
Mon Jul  1 08:56:59 2013	100	Dj Fresh, Sigma, Koko	Lassitude (Jakwob Remix)	Lassitude
Mon Jul  1 09:00:27 2013	96	Cookie Monsta	Me Want Cookie	Me Want Cookie
Mon Jul  1 09:03:59 2013	91	Mimi Page	Gravity (Omega Remix)	Harmonious HeartBEATS
Mon Jul  1 09:08:00 2013	95	JaFU	Spells	Add To Cart
Mon Jul  1 09:11:47 2013	100	Sponge Bandits	Invade	My World
Mon Jul  1 09:15:47 2013	90	Icicle, Proxima	Breathing Again	This Is Dubstep 2011 (GetDarker Presents)
Mon Jul  1 09:20:48 2013	92	Benny Page & Zero G	Panpipes	Getdarker Presents This Is Dubstep 2
Mon Jul  1 09:25:48 2013	97	Albin Myers	Faking Love (Myback Remix)	Faking Love
Mon Jul  1 09:30:12 2013	99	Au5, Auratic & I.y.f.f.e.	Breathe By Singularity Ft. Ste	n/a
Mon Jul  1 09:34:59 2013	102	Dubtro	Horrid Murk	Forgot Past Storage EP
Mon Jul  1 09:41:12 2013	100	Stenchman	Only Human	n/a
Mon Jul  1 09:45:58 2013	92	Milanese	Barry Dub 2007	10 Tons Heavy
Mon Jul  1 09:51:35 2013	99	Funt Case	Mattress Punch	n/a
Mon Jul  1 09:55:09 2013	108	Chimpo	Bucktooth	Getdarker Presents This Is Dubstep 3
Mon Jul  1 09:59:39 2013	105	Author	Dashiki	Author
Mon Jul  1 10:02:37 2013	102	Opiuo	Tender Wrinkle	Slurp And Giggle
Mon Jul  1 10:07:46 2013	108	Tipper	Open The Jowls (Vip Mix)	Tertiary Noise
Mon Jul  1 10:12:58 2013	108	Spectrasoul	Ish Chat	Delay No More
Mon Jul  1 10:15:24 2013	106	Nate Mars	Warrior	Concentric Circles
Mon Jul  1 10:19:55 2013	105	Black Sun Empire, Foreign Beggars	Solace One Feat. Black Sun Empire	n/a
Mon Jul  1 10:24:16 2013	102	NiT GriT	Shut The F ck Up	Heavy Machinery EP
Mon Jul  1 10:28:05 2013	104	Bassnectar Feat. Amp Live	Ugly	Vava Voom
Mon Jul  1 10:32:33 2013	99	Noisia	Split The Atom (Kito Remix)	Split The Atom: Special Edition
Mon Jul  1 10:36:44 2013	110	Skream	Rutten	Skream!
Mon Jul  1 10:43:11 2013	109	Bassnectar	West Coast Lo-Fi Rides Again	Cozza Frenzy
Mon Jul  1 10:47:34 2013	110	501	Headrush feat. Belle Humble	Headrush Ft Belle Humble / Falling Skies
Mon Jul  1 10:51:52 2013	109	Bar 9	Piano Tune	UKF Dubstep 2010
Mon Jul  1 10:56:32 2013	108	Djinn	Something You Know (Original M	n/a
Mon Jul  1 11:01:17 2013	108	Mr. Projectile	Love Here (Bassnectar Remix)	Cozza Frenzy
Mon Jul  1 11:07:33 2013	95	Sp Mc, Lx One	Hunted	Hunted / Oh My Gosh
Mon Jul  1 11:12:37 2013	97	Pendulum	Set Me On Fire	Immersion
Mon Jul  1 11:17:34 2013	97	Infected Mushroom	U R So Smart	U R So Smart
Mon Jul  1 11:21:21 2013	96	Dubsidia	Kill Humans	New Blood Of Dubstep Volume 1
Mon Jul  1 11:25:59 2013	96	Distance	Travels	Swarf Pot - Transition Dubstep
Mon Jul  1 11:31:51 2013	93	Fractal, Au5	Halcyon	Halcyon
Mon Jul  1 11:37:43 2013	91	FS	iLLest Android	Half Android
Mon Jul  1 11:41:43 2013	84	Tunnidge	Bug Spray	Getdarker Presents This Is Dubstep 3
Mon Jul  1 11:46:11 2013	89	Roksonix	Feel Good	Circus Two Sampler
Mon Jul  1 11:51:00 2013	87	Schoolboy, James Egbert	Stardust	The Silver Lining EP
Mon Jul  1 11:55:25 2013	88	Killa & Instinct	Haterz	Getdarker Presents This Is Dubstep 3
Mon Jul  1 12:00:26 2013	92	Skope	Bruuh	n/a
Mon Jul  1 12:04:48 2013	92	Skream	Wibbler	Outside The Box
Mon Jul  1 12:09:10 2013	88	Perverse	Thalamus	Genocide EP
Mon Jul  1 12:13:13 2013	94	Tipper	Razor Back	Wobble Factor
Mon Jul  1 12:16:48 2013	100	Dj Fresh	Fight	Kryptonite
Mon Jul  1 12:21:37 2013	96	Cyberoptics	Harlequin Dreams feat. Unknown Space Pioneer	Harlequin Dreams
Mon Jul  1 12:24:35 2013	97	Dj Antention	Take My Gun	Take My Gun
Mon Jul  1 12:28:25 2013	95	Benga, Coki	Night	Night
Mon Jul  1 12:34:42 2013	102	Truth, Dutty Ranks	Birds	Full Baked / Birds
Mon Jul  1 12:39:25 2013	104	Mars, Davip	The Desert Rain	n/a
Mon Jul  1 12:45:24 2013	111	Zeds Dead	Adrenaline	Adrenaline EP
Mon Jul  1 12:48:56 2013	112	Author	Teacher	The City / Teacher
Mon Jul  1 12:54:01 2013	115	Bassnectar	Upside Down	Divergent Spectrum
Mon Jul  1 12:59:33 2013	114	Noisia	Alpha Centauri (Excision & Datsik Remix)	Split The Atom: Special Edition
Mon Jul  1 13:04:11 2013	107	District, Sleeper	Zero Day	Terraformed EP
Mon Jul  1 13:09:13 2013	106	Haywyre	Ld004	Infinite EP
Mon Jul  1 13:14:37 2013	112	Bird Of Prey	Atrium	Everlasting - Selected And Mixed By Gaudi
Mon Jul  1 13:20:37 2013	116	Icicle	Acid Step	BNC EP
Mon Jul  1 13:25:13 2013	123	Seven	Evolution	Evolution
Mon Jul  1 13:30:48 2013	123	Dj Ironbelly	Feel The Dub	Amped
Mon Jul  1 13:34:07 2013	116	Perverse	Rigor Mortis (Bonus Track)	The Iceman / Submerge
Mon Jul  1 13:39:48 2013	117	Vodex	Generation Monsters	Generation Monsters EP
Mon Jul  1 13:43:47 2013	115	Alex Dead	Vitamin	n/a
Mon Jul  1 13:47:51 2013	111	Karma	Breaking Through (Original Mix	n/a
Mon Jul  1 13:52:47 2013	107	Document One	Breakdown	Breakdown EP
Mon Jul  1 13:57:47 2013	116	Alix Perez, Foreign Beggars	LDN Ft. Alix Perez (Eddie K & Statix)	The Harder They Fall Remixes
Mon Jul  1 14:02:24 2013	95	Davr	Do It	This Sound
Mon Jul  1 14:07:17 2013	96	Benga	Crunked Up	Diary Of An Afro Warrior
Mon Jul  1 14:11:00 2013	104	Author	Mothership	Author
Mon Jul  1 14:17:05 2013	108	Lulu Rouge	Thinking Of You	Everlasting - Selected And Mixed By Gaudi
Mon Jul  1 14:21:49 2013	102	T Vicious	Give Me What I Want (Helicopter Showdown Remix)	Give Me What I Want (The Remixes) EP
Mon Jul  1 14:25:34 2013	105	Six, Syte	Wretch	The Compilation 2012
Mon Jul  1 14:31:53 2013	116	Tipper	Snot Rocket	Wobble Factor
Mon Jul  1 14:37:01 2013	112	Tambour Battant	In The Skies (The Unik Remix)	In the Skies
Mon Jul  1 14:41:23 2013	113	Underworld	Rez (Bassnectar Remix)	Rez (Bassnectar Remix)
Mon Jul  1 14:46:13 2013	115	501	Falling Skies	Headrush Ft Belle Humble / Falling Skies
Mon Jul  1 14:50:35 2013	113	Bassnectar	Ugly (Ft. Amp Live)	Vava Voom
Mon Jul  1 14:54:57 2013	103	Dubtro	Hatred	Forgot Past Storage EP
Mon Jul  1 14:59:57 2013	91	Truth	Last Time	n/a
