Fri Feb  1 04:12:10 2013	51	Set Your Goals	Put Yo Hood Up	Punk Goes Crunk
Fri Feb  1 04:17:06 2013	52	No Doubt	D Js	n/a
Fri Feb  1 04:21:25 2013	50	Lunachicks	Heart Of Glass	Luxury Problem
Fri Feb  1 04:24:12 2013	50	Piebald	No One Else	Volume II
Fri Feb  1 04:27:04 2013	49	Lagwagon	Bad Moon Rising	Duh
Fri Feb  1 04:28:50 2013	52	Mark Ronson	Apply Some Pressure (Feat. Paul Smith)	Version
Fri Feb  1 04:32:26 2013	51	Megadeth	Paranoid	Warchest
Fri Feb  1 04:34:50 2013	53	Flaming Lips	War Pigs	n/a
Fri Feb  1 04:39:16 2013	49	Joy Electric	I% E2% 80om Ok, You% E2% 80ore Ok	n/a
Fri Feb  1 04:41:49 2013	49	Soul Asylum	School's Out	The Faculty
Fri Feb  1 04:45:14 2013	47	Cat Power	Red Apples	The Covers Record
Fri Feb  1 04:49:18 2013	46	Aztec Camera	Jump	Cover Me
Fri Feb  1 04:52:02 2013	45	Danny & Dusty	Knockin' On Heaven's Door	Lost Weekend
Fri Feb  1 04:57:20 2013	48	Belle And Sebastian	Comment Te Dire Adieu	n/a
Fri Feb  1 04:59:48 2013	47	Alanis Morissette	My Humps	n/a
Fri Feb  1 05:03:56 2013	46	You Say Party We Say Die	Nightswimming	n/a
Fri Feb  1 05:07:47 2013	48	Ataris	I Remember You	Punk Goes Metal
Fri Feb  1 05:11:20 2013	47	Foo Fighters	Keep The Car Running	n/a
Fri Feb  1 05:14:40 2013	48	Ken Nordine, Bill Frisell, Wayne Horvitz	Desolation Theme	Stay Awake (disney covers)
Fri Feb  1 05:16:19 2013	48	Ricky Lee Jones	Rebel Rebel	Traffic From Paradise
Fri Feb  1 05:20:50 2013	48	Mission	Never Let Me Down	Aural Delight
Fri Feb  1 05:24:44 2013	48	Nouvelle Vague	Ever Fallen In Love	Bande A Part
Fri Feb  1 05:27:59 2013	48	Monster Magnet	Kick Out The Jams	Varsity Blues
Fri Feb  1 05:30:31 2013	53	Social Distortion	Ring Of Fire	Social Distortion
Fri Feb  1 05:34:36 2013	53	New Found Glory	The Glory Of Love	From the Screen to Your Stereo
Fri Feb  1 05:37:45 2013	54	Hanna Pakarinen	Summer Of 69	Suomen Idols
Fri Feb  1 05:41:04 2013	53	Dwight Yoakam	I Want You To Want Me	Tomorrow's Sounds Today
Fri Feb  1 05:44:27 2013	52	Lisa Li-lund	Cry Me A River (Justin Timberl	n/a
Fri Feb  1 05:48:24 2013	49	Rufus Wainwright	Hallelujah	Lifted-Songs of the Spirit
Fri Feb  1 05:52:26 2013	50	Paul Young	The Tracks Of My Tears	Lovesongs Top 100 (1)
Fri Feb  1 05:55:30 2013	53	Arno	Knowing Me, Knowing You	Song Of Norway (1944 Original Cast Members)
Fri Feb  1 06:00:03 2013	53	Buck-o-nine	I'm The Man	Twenty-Eight Teeth
Fri Feb  1 06:03:04 2013	53	Redd Kross	Dancing Queen	N/A
Fri Feb  1 06:07:56 2013	57	Thrice	Send Me An Angel	If We Could Only See Us Now (W/Dvd)
Fri Feb  1 06:11:16 2013	54	Tori Amos	Smells Like Teen Spirit	Live at Montreux 1991 & 1992
Fri Feb  1 06:14:18 2013	51	Hidden In Plain View	I Ran (So Far Away)	n/a
Fri Feb  1 06:18:31 2013	55	U2	Beat On The Brat	We're a Happy Family: A Tribute to the Ramones
Fri Feb  1 06:21:03 2013	48	Me First And The Gimme Gimmes	All My Loving	Blow in the Wind [Vinyl]
Fri Feb  1 06:22:46 2013	51	Format	1000 Umbrellas	n/a
Fri Feb  1 06:25:19 2013	52	Hellacopters	Low Down Shakin' Chills	Cream of the Crap!, Vol. 2
Fri Feb  1 06:29:55 2013	54	Cardigans	Iron Man	First Band On The Moon
Fri Feb  1 06:34:14 2013	54	Eddie Vedder	I Believe In Miracles	We're a Happy Family: A Tribute to the Ramones
Fri Feb  1 06:37:11 2013	51	Sia	Under The Milky Way	Single
Fri Feb  1 06:40:36 2013	52	Mark Ronson	Amy (Feat. Kenna)	Version [Vinyl]
Fri Feb  1 06:44:05 2013	54	Vika Yermolyeva	Battery	n/a
Fri Feb  1 06:48:40 2013	52	Get Up Kids	Close To Me	Eudora
Fri Feb  1 06:52:05 2013	51	Plain White T's	Song 2	n/a
Fri Feb  1 06:54:00 2013	53	Mycomplex	Tired Of Sex	n/a
Fri Feb  1 06:57:05 2013	52	Nouvelle Vague	This Is Not A Love Song	Nouvelle Vague (Clean)
Fri Feb  1 07:02:05 2013	54	Somethingawful.Com	The Final Countdown	n/a
Fri Feb  1 07:07:10 2013	54	Tulus	Space Oddity	Great Metal Covers 27
Fri Feb  1 07:11:20 2013	52	Dropkick Murphys	The Kids Are Alright	Mob Mentality
