Tue Jan  1 05:01:50 2013	111	Skream	Simple City	Skreamizm Vol. 5
Tue Jan  1 05:06:53 2013	115	Coki	Bass	Swarf Pot - Transition Dubstep
Tue Jan  1 05:10:55 2013	126	Vaski	You Wouldn't Understand	n/a
Tue Jan  1 05:16:28 2013	119	Phutureprimitive	Cryogenic Dreams	Kinetik
Tue Jan  1 05:22:44 2013	118	Mimi Page, Shotgun Radio	A Bad Place (Minnesota Remix)	A Bad Place: Remixed
Tue Jan  1 05:31:17 2013	119	Fever Ray	When I Grow Up (Bassnectar Remix) 1	Cozza Frenzy
Tue Jan  1 05:37:14 2013	125	Benga	The Germ	Swarf Pot - Transition Dubstep
Tue Jan  1 05:42:45 2013	122	Downlink	Emergency	Emergency EP
Tue Jan  1 05:47:50 2013	123	Icicle	Bnc	BNC EP
Tue Jan  1 05:52:22 2013	121	Skrillex	Scatta (Feat. Foreign Beggars & Bare Noize)	Scary Monsters And Nice Sprites EP [Explicit]
Tue Jan  1 05:56:12 2013	116	Opiuo	Tender Wrinkle	Slurp And Giggle
Tue Jan  1 06:01:25 2013	121	Freestylers, Joshua Steele	Frozen (Cookie Monsta Remix)	Frozen
Tue Jan  1 06:06:14 2013	121	Dj Vadim, The Electric	Toot Toot (Zeds Dead Remix)	Toot Toot
Tue Jan  1 06:10:36 2013	124	Dj Ironbelly	Hold Of To Jah (Feat. Ranking	n/a
Tue Jan  1 06:16:20 2013	120	Soap Dodgers	Contact	Ill Minded / Contact
Tue Jan  1 06:22:19 2013	119	Truth	Puppets (Tunnidge Remix)	Ready Now
Tue Jan  1 06:27:46 2013	113	Rumpistol, Red Baron	Colors Breaking	Floating
Tue Jan  1 06:31:47 2013	110	Trentemoller	Vamp	The Last Resort
Tue Jan  1 06:36:30 2013	112	Tipper	Furlong (Buckfunk 3000's Dead	n/a
Tue Jan  1 06:41:49 2013	113	Tremourz, J.Rabbit	Sexy Party (Terravita Remix)	More Sex Please?
Tue Jan  1 06:47:21 2013	108	Pinch	Punisher	10 Tons Heavy
Tue Jan  1 06:51:45 2013	103	Cyberoptics	Harlequin Dreams feat. Unknown Space Pioneer	Harlequin Dreams
Tue Jan  1 06:54:41 2013	105	Parson & Skint	Big Killaz	10 Tons Heavy
Tue Jan  1 06:59:51 2013	106	JaFU	For Grins	Add To Cart
Tue Jan  1 07:02:23 2013	105	Benga	3 Phase	Swarf Pot - Transition Dubstep
Tue Jan  1 07:06:59 2013	104	G Squad	Assumptions (Benga Remix)	Swarf Pot - Transition Dubstep
Tue Jan  1 07:12:02 2013	107	Marco Bernardi	Mystery Of Nazerus (2562 Remix)	Mystery Of Nazerus Remxed
Tue Jan  1 07:18:01 2013	111	Proxima, Piro	Blue Dog	Distant Shores / Blue Dog
Tue Jan  1 07:23:30 2013	121	Quartus Saul	Los Angeles (Tim Ismag Remix)	More Heroes
Tue Jan  1 07:27:21 2013	125	Bumbumtschak	Memory	n/a
Tue Jan  1 07:30:20 2013	115	J Kenzo	Invaderz	Invaderz / Depth Charge
Tue Jan  1 07:34:52 2013	113	Tipper	Tiny Face	Wobble Factor
Tue Jan  1 07:39:23 2013	113	Figure	Retarded Shit (Calvertron Remix)	Retarded Shit EP
Tue Jan  1 07:43:32 2013	120	Greenlaw, Mark Instinct	Go In Peace (Dubstep Remix) Vocal Mix	Go In Peace - Dubstep Remix
Tue Jan  1 07:48:09 2013	124	Chaosphere	System	Eradicate EP
Tue Jan  1 07:52:01 2013	119	Killawatt	Capa	Shakuhachi EP
Tue Jan  1 07:58:30 2013	128	Skrillex	Kyoto Feat. Sirah (Original Mi	Bangarang
Tue Jan  1 08:01:52 2013	127	Sp Mc	Oh My Gosh	Hunted / Oh My Gosh
Tue Jan  1 08:07:14 2013	132	Bratkilla	The Marching Dead	Bratkilla EP
Tue Jan  1 08:12:18 2013	131	Rudi Zygadlo	Resealable Friendship (Starkey Remix)	Blow Your Head - Diplo Presents: Dubstep [Explicit]
Tue Jan  1 08:16:31 2013	138	Lulu Rouge	Thinking Of You	Everlasting - Selected And Mixed By Gaudi
Tue Jan  1 08:21:15 2013	142	Skream	Kinky	Swarf Pot - Transition Dubstep
Tue Jan  1 08:26:17 2013	134	Yenn	Unqueer (Frederik Olufsen's Drumstep Bad Ass Bass In Your Face	n/a
Tue Jan  1 08:31:14 2013	140	Bassnectar	Timestretch	Timestretch
Tue Jan  1 08:37:14 2013	131	Excision, Datsik	Swagga	Swagga / Invaders
Tue Jan  1 08:42:30 2013	131	Tunnidge	Bug Spray	Getdarker Presents This Is Dubstep 3
Tue Jan  1 08:46:53 2013	130	Truth	Babylon London	n/a
Tue Jan  1 08:51:58 2013	126	Tek-One	Broken String	UKF Dubstep 2010
Tue Jan  1 08:56:01 2013	125	Kromestar	Surgery	Deep Medi Releases Vol. 1
Tue Jan  1 09:00:35 2013	126	Breakage, David Rodigan	Together	Together/Rain
Tue Jan  1 09:05:34 2013	119	Mimi Page	Tomorrow (Elfkowitz Remix)	Harmonious HeartBEATS
Tue Jan  1 09:10:17 2013	121	Vaski	Bail Out	n/a
Tue Jan  1 09:16:07 2013	128	NiT GriT	Prituri Se Planinata By Stellamara (Ni T Gri T Remix)	n/a
Tue Jan  1 09:21:50 2013	134	2562, Pattie Blingh	Brother The Point (2562 Remix)	Brother : The Point
Tue Jan  1 09:26:35 2013	133	Killawatt	Rolling Dunes	71 / Rolling Dunes / Topio
Tue Jan  1 09:32:00 2013	148	Beto Narme	Sigment Dots	Mutiple Choice (Dubstep!)
Tue Jan  1 09:38:24 2013	146	Distance	Wiseman	Swarf Pot - Transition Dubstep
Tue Jan  1 09:42:38 2013	148	Truth, Silkie	Feel	City Limits Vol. 2
Tue Jan  1 09:48:20 2013	156	J O B O T	Bottle Of Bumpy (Original Mix)	n/a
Tue Jan  1 09:52:01 2013	155	Kill The Noise	Kill The Noise (Part I)	Kill Kill Kill
Tue Jan  1 09:59:42 2013	157	Phutureprimitive	Ripple Effect	Kinetik
Tue Jan  1 10:05:18 2013	150	Infected Mushroom	U R So Smart	U R So Smart
Tue Jan  1 10:09:06 2013	158	Rusko	Somebody To Love (Skream Remix)	Somebody To Love (Skream Remix)
Tue Jan  1 10:15:00 2013	159	Davr	Do It	This Sound
Tue Jan  1 10:19:35 2013	154	Trolley Snatcha	Make My Whole World (Original Mix)	Subtext EP
Tue Jan  1 10:24:36 2013	159	Bassnectar	Upside Down	Divergent Spectrum
Tue Jan  1 10:30:08 2013	164	Synkro	Angels (Vip Mix)	Getdarker Presents This Is Dubstep 3
Tue Jan  1 10:35:24 2013	165	Run Dmt	Curse Of The Mummy	Union of Opposites
